what	when	with	where	why
Mentor	Sep 2015 — Jan 2016	CoderDojo	Cork, Ireland	CoderDojo is a global network of volunteer-led coding clubs for kids and young adults. The EMC CoderDojo meet once a week for two hours and was organized by 12 volunteer mentors overseeing 40 kids ages 7-13.
Volunteer Physicist 	Mar 2011	Royal Holloway	Egham, UK	Led educational sessions on the Evolution of the Early Universe with Legos during the univerity's science open day
